name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster
Triste                                                                                                                                                                           ,0.61,0.34,-11.653,0.034,0.906,0.859,0.0975,0.459,103.825,131400,27
Só Danço Samba                                                                                                                                                                   ,0.611,0.279,-12.032,0.0554,0.838,0.438,0.131,0.677,81.546,214733,29
Samba Triste                                                                                                                                                                     ,0.637,0.19,-22.466,0.0676,0.841,0.263,0.12,0.687,143.111,283627,29
País Tropical                                                                                                                                                                    ,0.708,0.599,-9.516,0.0336,0.693,0.0,0.296,0.917,129.048,209213,9
Coracao Vagabundo                                                                                                                                                                ,0.584,0.0506,-20.168,0.0647,0.901,0.163,0.0693,0.126,97.627,269227,3
Pais Tropical                                                                                                                                                                    ,0.701,0.585,-9.991,0.0444,0.484,0.0,0.815,0.845,122.276,164720,28
Life On Mars?                                                                                                                                                                    ,0.66,0.148,-16.689,0.0497,0.893,0.00175,0.117,0.272,124.058,209067,3
Apelo                                                                                                                                                                            ,0.506,0.252,-14.083,0.0502,0.919,0.863,0.111,0.2,74.917,195600,13
"O Que É, O Que É                                                                                                                                                               ",0.696,0.322,-15.868,0.0372,0.978,0.879,0.0737,0.658,105.776,368027,27
Maroca                                                                                                                                                                           ,0.652,0.725,-7.794,0.0316,0.0335,0.0284,0.177,0.581,147.876,307347,18
Apelo                                                                                                                                                                            ,0.531,0.153,-12.022,0.0356,0.923,0.000131,0.125,0.164,81.972,361800,3
Samba Da Minha Terra - Live At Carnegie Hall/1964                                                                                                                                ,0.576,0.322,-23.134,0.178,0.879,0.593,0.694,0.805,83.696,188280,27
Corcovado                                                                                                                                                                        ,0.53,0.0902,-18.37,0.0469,0.926,0.00782,0.286,0.364,126.648,258560,3
Chega de Saudade                                                                                                                                                                 ,0.745,0.368,-11.419,0.0498,0.83,0.00292,0.151,0.582,98.953,190960,29
Coisa Feita                                                                                                                                                                      ,0.579,0.342,-17.379,0.042,0.879,0.813,0.109,0.774,117.024,266373,27
Felicia and Bianca                                                                                                                                                               ,0.575,0.274,-18.579,0.0472,0.686,0.343,0.102,0.628,105.678,179960,29
Rosa Morena                                                                                                                                                                      ,0.526,0.489,-11.555,0.0354,0.206,0.0,0.105,0.717,95.995,138693,12
Insensatez                                                                                                                                                                       ,0.67,0.187,-15.997,0.037,0.945,0.618,0.104,0.305,127.676,203560,27
Menina Moca                                                                                                                                                                      ,0.593,0.475,-10.763,0.0336,0.797,0.000373,0.129,0.789,106.501,341867,9
So Nice (Summer Samba)                                                                                                                                                           ,0.773,0.492,-11.472,0.0397,0.549,0.0,0.103,0.822,122.054,148853,9
Santa Maria de Feira                                                                                                                                                             ,0.542,0.377,-12.211,0.033,0.933,0.319,0.15,0.729,107.113,275493,29
Já Sei Namorar - 2004 Digital Remaster                                                                                                                                           ,0.67,0.822,-6.687,0.057,0.67,0.00115,0.132,0.833,145.56,196987,9
Blue Bossa                                                                                                                                                                       ,0.599,0.518,-13.434,0.0553,0.823,0.87,0.2,0.962,110.723,443787,27
Aguas De Março                                                                                                                                                                   ,0.797,0.411,-10.07,0.0896,0.79,0.0,0.101,0.606,135.955,223440,29
Bossa Dorado                                                                                                                                                                     ,0.78,0.446,-13.332,0.0499,0.708,0.843,0.118,0.831,133.222,252987,27
Orange Afternoon                                                                                                                                                                 ,0.615,0.63,-10.809,0.0448,0.43,0.244,0.113,0.557,91.122,249800,12
