name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster
Radio Ga Ga - Remastered 2011                                                                                                                                                    ,0.744,0.502,-7.719,0.0359,0.183,0.000228,0.189,0.66,112.344,348227,12
Another Day in Paradise - 2016 Remaster                                                                                                                                          ,0.78,0.565,-7.32,0.0306,0.736,0.00269,0.063,0.365,101.967,322133,23
La Bamba                                                                                                                                                                         ,0.506,0.764,-12.239,0.046,0.144,0.00025,0.247,0.868,156.336,174187,6
Baby Jane - 2008 Remaster                                                                                                                                                        ,0.641,0.796,-8.56,0.0407,0.0137,0.000115,0.358,0.727,123.229,283493,5
"That's What Friends Are For (with Elton John, Gladys Knight & Stevie Wonder)                                                                                                   ",0.683,0.284,-15.207,0.0314,0.333,0.0,0.0608,0.207,120.233,257360,26
Kiss                                                                                                                                                                             ,0.898,0.271,-12.238,0.091,0.0135,0.00138,0.0461,0.742,111.485,226240,19
Listen To Your Heart                                                                                                                                                             ,0.539,0.583,-4.935,0.0275,0.108,0.0,0.111,0.337,86.063,328093,26
Sussudio - 2016 Remaster                                                                                                                                                         ,0.714,0.935,-5.195,0.0849,0.0529,0.0934,0.0515,0.725,121.232,263107,5
Beds Are Burning - Remastered                                                                                                                                                    ,0.753,0.427,-11.112,0.0387,0.00787,0.00065,0.058,0.295,119.18,255680,26
Ebony & Ivory                                                                                                                                                                    ,0.632,0.559,-11.564,0.0355,0.148,0.0,0.0515,0.757,80.709,222467,19
Glory of Love                                                                                                                                                                    ,0.52,0.61,-7.935,0.0282,0.0805,2.95e-06,0.276,0.329,144.983,258333,26
The Way You Make Me Feel - 2012 Remaster                                                                                                                                         ,0.877,0.854,-4.523,0.147,0.0544,5.5e-05,0.144,0.54,114.472,298120,1
We Didn't Start the Fire                                                                                                                                                         ,0.712,0.967,-5.206,0.047,0.0771,0.0,0.356,0.895,145.024,287733,5
Raspberry Beret                                                                                                                                                                  ,0.761,0.67,-12.759,0.0438,0.21,0.000426,0.0685,0.91,120.752,215173,19
(I Just) Died In Your Arms                                                                                                                                                       ,0.625,0.726,-11.402,0.0444,0.0158,0.000169,0.0625,0.507,124.945,280400,18
Together In Electric Dreams                                                                                                                                                      ,0.697,0.611,-11.746,0.0258,0.18,2.04e-06,0.0876,0.808,129.96,233493,19
Like a Virgin                                                                                                                                                                    ,0.771,0.655,-10.842,0.0372,0.152,0.00197,0.0685,0.97,119.747,218627,19
I Just Called To Say I Love You                                                                                                                                                  ,0.748,0.551,-9.054,0.0239,0.243,1.57e-06,0.0943,0.65,113.535,262240,12
Celebration                                                                                                                                                                      ,0.885,0.664,-11.795,0.0524,0.145,0.0483,0.0767,0.906,121.632,298867,19
Give It Up                                                                                                                                                                       ,0.862,0.624,-11.63,0.0565,0.0192,0.000153,0.0465,0.882,124.896,254240,19
The Lady In Red                                                                                                                                                                  ,0.548,0.294,-17.112,0.0333,0.332,3.34e-06,0.0392,0.491,76.698,256173,12
How Will I Know                                                                                                                                                                  ,0.832,0.544,-12.697,0.0442,0.201,0.000139,0.632,0.928,119.49,275533,14
Gold - 2003 Remaster                                                                                                                                                             ,0.724,0.802,-6.117,0.0337,0.25,0.0016,0.342,0.729,143.116,290720,6
If You Don't Know Me by Now - 2008 Remaster                                                                                                                                      ,0.638,0.352,-9.266,0.0268,0.492,0.0,0.105,0.204,94.173,204000,23
Arthur's Theme (Best That You Can Do)                                                                                                                                            ,0.526,0.515,-11.169,0.0389,0.169,0.000816,0.181,0.518,136.543,234493,12
I Want It That Way                                                                                                                                                               ,0.689,0.702,-5.642,0.0261,0.216,0.0,0.159,0.484,99.031,213600,1
Torn                                                                                                                                                                             ,0.558,0.928,-3.04,0.0356,0.0746,5.44e-05,0.696,0.6,96.313,244813,14
Wannabe                                                                                                                                                                          ,0.768,0.864,-6.145,0.0324,0.101,0.0,0.162,0.891,110.008,173027,5
(Everything I Do) I Do It For You                                                                                                                                                ,0.533,0.36,-12.633,0.0282,0.0805,1.03e-05,0.0631,0.299,131.229,393640,26
Wonderwall                                                                                                                                                                       ,0.409,0.892,-4.373,0.0336,0.000807,0.0,0.207,0.651,174.426,258613,25
"It Must Have Been Love - From the Film ""Pretty Woman""                                                                                                                        ",0.52,0.652,-6.655,0.0274,0.34,5.49e-05,0.256,0.722,80.609,258787,12
Kiss Me                                                                                                                                                                          ,0.529,0.741,-5.661,0.0268,0.116,1.23e-06,0.0736,0.455,100.004,205240,18
Gangsta's Paradise                                                                                                                                                               ,0.647,0.514,-10.05,0.0593,0.0655,0.0,0.398,0.387,79.974,240693,26
Smells Like Teen Spirit                                                                                                                                                          ,0.502,0.912,-4.556,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,301920,25
Believe                                                                                                                                                                          ,0.652,0.917,-6.72,0.0548,0.0082,0.0,0.0509,0.459,132.975,239027,18
Stop                                                                                                                                                                             ,0.722,0.845,-4.446,0.0308,0.287,0.0,0.0561,0.965,130.13,204754,4
Man! I Feel Like A Woman!                                                                                                                                                        ,0.657,0.639,-7.527,0.0412,0.581,0.0,0.278,0.674,124.882,234493,9
MMMBop                                                                                                                                                                           ,0.683,0.937,-6.335,0.0449,0.00481,0.0046,0.07,0.619,104.872,268653,18
When You're Gone                                                                                                                                                                 ,0.546,0.931,-6.344,0.0341,0.000299,2.92e-05,0.11,0.643,125.495,204893,18
Hold On                                                                                                                                                                          ,0.679,0.657,-9.897,0.0255,0.4,0.0,0.0497,0.546,97.8,266867,12
Back for Good - Radio Mix                                                                                                                                                        ,0.601,0.504,-9.761,0.0284,0.31,0.0,0.137,0.564,78.986,242267,12
Don't Let the Sun Go Down on Me                                                                                                                                                  ,0.432,0.551,-8.096,0.0289,0.501,1.77e-06,0.472,0.253,136.465,346960,23
Picture Of You                                                                                                                                                                   ,0.768,0.919,-6.066,0.0416,0.109,1.14e-06,0.366,0.862,116.649,206040,5
Ironic - 2015 Remaster                                                                                                                                                           ,0.408,0.582,-8.305,0.0508,0.218,0.0,0.159,0.365,114.926,230000,26
Walking in Memphis                                                                                                                                                               ,0.696,0.679,-7.363,0.0305,0.587,0.0,0.165,0.527,128.982,235493,23
"I'll Be There for You - Theme From ""Friends""                                                                                                                                 ",0.32,0.917,-5.903,0.0771,0.0717,0.0,0.169,0.715,190.757,188360,25
That Don't Impress Me Much                                                                                                                                                       ,0.743,0.873,-4.943,0.0507,0.14,0.0,0.142,0.965,125.005,238707,5
Freedom! '90 - Remastered                                                                                                                                                        ,0.677,0.852,-10.856,0.045,0.225,3.95e-05,0.0595,0.93,91.691,390862,5
To Be With You - 2010 Remastered Version                                                                                                                                         ,0.688,0.375,-9.601,0.0535,0.286,0.0,0.133,0.45,83.635,210480,12
When You Say Nothing At All                                                                                                                                                      ,0.461,0.448,-10.665,0.0246,0.161,1.18e-06,0.0811,0.418,173.86,256827,26
This Kiss                                                                                                                                                                        ,0.48,0.832,-5.663,0.0426,0.137,0.0,0.354,0.648,186.875,194907,25
You're Still The One                                                                                                                                                             ,0.585,0.494,-8.751,0.0353,0.363,0.0,0.0886,0.634,133.822,212200,12
Walking on Broken Glass                                                                                                                                                          ,0.749,0.562,-8.45,0.0281,0.215,1.1e-06,0.105,0.807,115.008,253296,19
Fading Like A Flower (Every Time You Leave)                                                                                                                                      ,0.609,0.668,-5.738,0.026,0.195,0.0,0.219,0.319,105.419,230680,26
The Shoop Shoop Song (It's In His Kiss)                                                                                                                                          ,0.678,0.61,-10.509,0.0306,0.467,0.0,0.397,0.919,117.04,170000,9
Everybody (Backstreet's Back) - Radio Edit                                                                                                                                       ,0.731,0.853,-4.219,0.0363,0.0352,0.0,0.268,0.605,108.016,225360,18
Together Again                                                                                                                                                                   ,0.873,0.593,-8.942,0.103,0.078,0.00697,0.104,0.495,123.091,301200,1
Come on over Baby (All I Want Is You) - Radio Version                                                                                                                            ,0.829,0.915,-3.205,0.106,0.226,1.25e-05,0.246,0.779,118.903,203333,5
The Sign                                                                                                                                                                         ,0.808,0.786,-6.897,0.0447,0.00928,0.0701,0.0574,0.899,96.987,191240,5
Angels                                                                                                                                                                           ,0.429,0.594,-6.251,0.0277,0.156,4.95e-06,0.1,0.236,150.22,265000,26
Joyride                                                                                                                                                                          ,0.631,0.77,-5.315,0.0267,0.0457,0.0,0.481,0.734,102.348,263093,14
Sometimes                                                                                                                                                                        ,0.745,0.742,-5.693,0.0259,0.42,0.0,0.102,0.806,95.996,245067,4
Truly Madly Deeply                                                                                                                                                               ,0.555,0.698,-8.874,0.0287,0.403,0.0,0.0851,0.816,168.12,277267,6
"Love Is All Around - From ""Four Weddings And A Funeral""                                                                                                                      ",0.428,0.542,-12.381,0.0304,0.256,0.0,0.169,0.566,169.896,237893,12
Jessie                                                                                                                                                                           ,0.648,0.464,-11.592,0.0287,0.426,4.93e-06,0.262,0.512,142.924,319027,12
As Long as You Love Me                                                                                                                                                           ,0.804,0.801,-4.892,0.0305,0.275,3.29e-05,0.215,0.826,98.12,221107,4
Fantasy                                                                                                                                                                          ,0.669,0.727,-7.588,0.0353,0.139,0.0,0.123,0.807,102.322,243493,5
Black or White - Single Version                                                                                                                                                  ,0.741,0.894,-3.826,0.0496,0.0814,0.0527,0.089,0.96,114.879,202853,5
The King of Wishful Thinking                                                                                                                                                     ,0.669,0.868,-7.377,0.0527,0.033,0.0,0.0991,0.913,107.885,241760,5
"Baby, I Love Your Way                                                                                                                                                          ",0.651,0.747,-7.269,0.0699,0.0528,0.0,0.207,0.776,147.518,249520,5
...Baby One More Time                                                                                                                                                            ,0.759,0.699,-5.745,0.0307,0.202,0.000131,0.443,0.907,92.96,211067,4
2 Become 1                                                                                                                                                                       ,0.646,0.665,-7.878,0.0268,0.326,1.97e-05,0.238,0.7,143.966,241027,6
I'd Do Anything For Love (But I Won't Do That) - Single Edit                                                                                                                     ,0.419,0.672,-6.353,0.092,0.623,0.0,0.412,0.304,105.212,316467,23
Only Wanna Be with You                                                                                                                                                           ,0.49,0.873,-5.861,0.0355,0.107,5.19e-06,0.118,0.513,103.272,229587,18
"Because You Loved Me (Theme from ""Up Close and Personal"")                                                                                                                    ",0.614,0.466,-9.881,0.0327,0.314,0.0,0.099,0.178,119.916,273667,26
Moving on Up                                                                                                                                                                     ,0.899,0.857,-6.128,0.037,0.0499,0.0299,0.112,0.961,125.072,215533,5
You'll Be In My Heart                                                                                                                                                            ,0.568,0.748,-6.523,0.0298,0.0572,4.48e-06,0.0932,0.615,96.699,258400,18
No Matter What                                                                                                                                                                   ,0.701,0.416,-9.429,0.0247,0.165,0.0,0.13,0.555,92.715,274267,12
Sweetest Thing - The Single Mix                                                                                                                                                  ,0.534,0.605,-7.096,0.0352,0.0941,4.35e-05,0.198,0.558,142.24,183160,18
Breakfast At Tiffany's                                                                                                                                                           ,0.624,0.826,-5.534,0.0287,0.113,0.0,0.0938,0.526,110.368,257187,18
I Love You Always Forever                                                                                                                                                        ,0.744,0.453,-11.977,0.0348,0.627,0.421,0.0898,0.122,103.773,239960,23
"I'll Be There (feat. Trey Lorenz) - Live at MTV Unplugged, Kaufman Astoria StuLive at MTV Unplugged, Kaufman Astoria Studios, New York - March 1992dios, New York - March 1992 ",0.216,0.544,-8.132,0.0431,0.663,0.0,0.882,0.301,75.017,264240,28
"Baby, Baby                                                                                                                                                                     ",0.702,0.901,-4.45,0.0264,0.426,0.00153,0.0368,0.919,97.862,236973,4
Strong Enough                                                                                                                                                                    ,0.593,0.923,-6.19,0.101,0.0495,0.0,0.29,0.587,124.862,224000,18
"Circle of Life - From ""The Lion King""/Soundtrack Version                                                                                                                     ",0.3,0.387,-15.321,0.0331,0.264,0.215,0.106,0.137,160.587,291600,26
Out Of Reach                                                                                                                                                                     ,0.51,0.48,-6.567,0.0452,0.503,0.0,0.106,0.496,182.862,196987,23
Relight My Fire (feat. Lulu)                                                                                                                                                     ,0.653,0.943,-7.315,0.0515,0.0379,0.0,0.0989,0.925,122.586,251760,5
Over My Shoulder                                                                                                                                                                 ,0.631,0.826,-7.856,0.0322,0.126,0.0,0.0648,0.82,92.353,217200,5
Bring It All Back                                                                                                                                                                ,0.679,0.903,-4.914,0.0463,0.333,0.0,0.372,0.872,108.114,213600,4
Can You Feel the Love Tonight                                                                                                                                                    ,0.309,0.275,-12.612,0.0332,0.867,0.000408,0.11,0.161,123.865,241280,3
Let Me Entertain You                                                                                                                                                             ,0.478,0.965,-5.022,0.0642,0.000169,0.00251,0.0854,0.347,125.152,262000,17
Always Be My Baby                                                                                                                                                                ,0.65,0.531,-8.335,0.0364,0.457,0.0,0.249,0.487,78.946,258133,12
Let's Get Loud                                                                                                                                                                   ,0.82,0.937,-4.81,0.0542,0.139,7.51e-05,0.325,0.922,131.006,238227,5
All I Wanna Do                                                                                                                                                                   ,0.82,0.528,-11.179,0.0321,0.111,0.0186,0.257,0.931,120.091,272107,19
A Whole New World (Aladdin's Theme)                                                                                                                                              ,0.538,0.189,-17.13,0.0344,0.636,0.0,0.174,0.161,107.829,250400,3
You Gotta Be                                                                                                                                                                     ,0.623,0.669,-9.985,0.0412,0.211,3.2e-06,0.111,0.492,94.028,245200,12
There She Goes                                                                                                                                                                   ,0.533,0.761,-10.632,0.0298,0.013,0.829,0.207,0.917,122.777,162187,20
C'est La Vie                                                                                                                                                                     ,0.705,0.936,-5.109,0.0306,0.0978,0.000124,0.0506,0.939,109.004,173693,5
I Knew I Loved You                                                                                                                                                               ,0.61,0.497,-9.88,0.0279,0.32,6.11e-05,0.0884,0.739,85.031,250360,12
Quit Playing Games (With My Heart)                                                                                                                                               ,0.8,0.825,-6.552,0.034,0.0559,2.18e-06,0.141,0.903,100.035,232667,5
Never Ever                                                                                                                                                                       ,0.738,0.541,-5.485,0.0311,0.559,0.0,0.0492,0.309,134.187,387573,23
Will You Be There - Single Version                                                                                                                                               ,0.413,0.626,-6.504,0.0735,0.511,0.000338,0.0845,0.435,82.971,220387,23
Dreams                                                                                                                                                                           ,0.751,0.467,-13.652,0.036,0.173,0.0,0.217,0.568,98.783,222773,12
Life Is A Highway                                                                                                                                                                ,0.683,0.897,-3.455,0.0465,0.0457,5.18e-06,0.286,0.752,103.051,266080,5
I Will Always Love You                                                                                                                                                           ,0.332,0.214,-12.518,0.0349,0.845,5.62e-06,0.0839,0.11,67.531,271093,21
I Swear                                                                                                                                                                          ,0.532,0.407,-9.658,0.0233,0.235,0.0,0.117,0.23,83.207,259853,26
Waterfalls                                                                                                                                                                       ,0.769,0.505,-7.345,0.0829,0.311,7.49e-05,0.0777,0.757,171.804,279507,6
"Show Me Heaven - From ""Days Of Thunder""                                                                                                                                      ",0.5,0.455,-10.483,0.0261,0.136,0.00363,0.0646,0.563,155.935,229920,12
Hero                                                                                                                                                                             ,0.501,0.378,-9.37,0.029,0.735,0.0,0.119,0.178,119.987,257733,3
Friday I'm In Love                                                                                                                                                               ,0.526,0.763,-12.663,0.0341,0.00126,6.75e-05,0.359,0.514,136.205,215160,18
Say You'll Be There                                                                                                                                                              ,0.726,0.679,-6.219,0.0473,0.0149,1.49e-06,0.0837,0.751,107.02,235973,5
"All For Love - From ""The Three Musketeers""                                                                                                                                   ",0.408,0.569,-6.237,0.029,0.19,0.0,0.126,0.146,74.835,283707,26
Vogue                                                                                                                                                                            ,0.737,0.88,-6.449,0.0433,0.00379,0.00351,0.417,0.329,115.998,316813,17
Stars                                                                                                                                                                            ,0.716,0.818,-7.456,0.0256,0.154,0.000806,0.236,0.817,103.668,248600,5
Livin' la Vida Loca                                                                                                                                                              ,0.425,0.954,-3.756,0.0476,0.00414,0.0,0.0555,0.933,178.043,243160,6
Iris                                                                                                                                                                             ,0.315,0.715,-8.072,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925,289533,25
Who Do You Think You Are                                                                                                                                                         ,0.727,0.83,-6.658,0.0376,0.0226,0.00356,0.73,0.899,118.002,240707,14
Mysterious Girl - Radio Edit                                                                                                                                                     ,0.655,0.822,-5.755,0.211,0.14,0.0,0.298,0.859,171.983,217107,6
I'll Stand by You                                                                                                                                                                ,0.438,0.606,-6.549,0.0305,0.3,4.49e-06,0.0754,0.266,133.822,240760,26
(I Can't Help) Falling In Love With You                                                                                                                                          ,0.642,0.722,-13.031,0.0375,0.0444,0.00388,0.122,0.836,172.406,207440,6
I Love Your Smile                                                                                                                                                                ,0.722,0.842,-8.745,0.126,0.00955,8.45e-06,0.178,0.751,93.954,257973,5
High                                                                                                                                                                             ,0.664,0.622,-8.505,0.0253,0.0994,0.0738,0.112,0.614,102.342,310333,1
Say What You Want                                                                                                                                                                ,0.633,0.841,-5.932,0.0702,0.2,0.0,0.396,0.803,95.888,233867,5
Crush                                                                                                                                                                            ,0.733,0.706,-5.652,0.0292,0.0262,0.0,0.0881,0.598,115.04,199960,1
Justified & Ancient                                                                                                                                                              ,0.628,0.953,-4.989,0.0626,0.00276,0.0132,0.427,0.515,111.134,228372,18
Bitch                                                                                                                                                                            ,0.617,0.886,-5.953,0.055,0.0112,9.63e-05,0.0523,0.629,96.328,252760,18
Weather With You                                                                                                                                                                 ,0.643,0.614,-12.878,0.0279,0.25,7.17e-06,0.214,0.891,93.982,224467,19
Kiss from a Rose                                                                                                                                                                 ,0.584,0.533,-7.11,0.0305,0.684,0.0,0.306,0.224,131.745,288427,23
How Deep Is Your Love                                                                                                                                                            ,0.786,0.376,-14.285,0.0273,0.672,0.000611,0.186,0.437,99.992,221000,29
No Scrubs                                                                                                                                                                        ,0.743,0.675,-4.267,0.0953,0.0251,0.000717,0.0685,0.59,92.909,214400,1
I'm Outta Love - Radio Edit                                                                                                                                                      ,0.761,0.716,-5.8,0.056,0.396,0.0,0.0771,0.649,119.41,245400,4
She's The One                                                                                                                                                                    ,0.243,0.609,-8.451,0.0323,0.663,1.13e-05,0.221,0.333,166.668,258027,23
What Can I Do                                                                                                                                                                    ,0.631,0.516,-7.514,0.035,0.336,0.0,0.0974,0.688,78.0,259467,12
"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack                                                                                                                  ",0.383,0.662,-5.162,0.0333,0.165,0.0,0.248,0.138,121.154,298760,26
Amazed                                                                                                                                                                           ,0.56,0.541,-7.97,0.0288,0.23,0.0,0.118,0.278,139.76,240000,26
Waiting for Tonight                                                                                                                                                              ,0.694,0.941,-6.108,0.0408,0.00224,0.0826,0.109,0.854,125.014,246507,5
Spice Up Your Life                                                                                                                                                               ,0.556,0.993,-5.067,0.0464,0.0105,0.0341,0.403,0.702,124.016,173667,14
Shiny Happy People                                                                                                                                                               ,0.452,0.909,-3.977,0.0366,0.0313,0.0603,0.23,0.805,124.623,225787,25
If It Makes You Happy                                                                                                                                                            ,0.541,0.692,-7.056,0.0278,0.0409,0.000178,0.108,0.303,95.446,324840,26
Genie In a Bottle                                                                                                                                                                ,0.633,0.8,-6.945,0.166,0.209,0.000123,0.137,0.913,175.716,217573,6
The Power of Love                                                                                                                                                                ,0.546,0.519,-9.072,0.0291,0.36,0.00046,0.24,0.247,140.054,342400,23
What's Up?                                                                                                                                                                       ,0.566,0.57,-9.875,0.0285,0.156,0.0,0.118,0.491,134.537,295493,12
Life                                                                                                                                                                             ,0.721,0.74,-5.453,0.0416,0.112,4.12e-05,0.0848,0.714,104.815,216040,5
Step by Step                                                                                                                                                                     ,0.787,0.63,-12.295,0.0609,0.0274,6.69e-06,0.161,0.882,125.347,267293,19
Don't Look Back in Anger                                                                                                                                                         ,0.349,0.913,-3.603,0.0691,0.0303,8.06e-06,0.12,0.225,164.005,287827,15
I Have Nothing - Film Version                                                                                                                                                    ,0.486,0.448,-9.133,0.0342,0.757,0.0,0.0852,0.17,152.864,296040,23
She's so High                                                                                                                                                                    ,0.537,0.84,-4.626,0.0363,0.2,2.15e-06,0.0998,0.211,124.269,224693,17
Change the World - 2015 Remaster                                                                                                                                                 ,0.719,0.556,-8.77,0.0248,0.477,0.00511,0.0935,0.511,96.9,234813,12
Save Tonight                                                                                                                                                                     ,0.548,0.742,-6.536,0.0337,0.000154,3.97e-05,0.109,0.583,119.496,236040,18
Finally                                                                                                                                                                          ,0.791,0.658,-11.128,0.0445,0.00653,0.0,0.0472,0.842,120.066,245000,19
Say My Name                                                                                                                                                                      ,0.522,0.676,-3.571,0.16,0.274,0.0,0.134,0.746,67.427,271333,4
I Try                                                                                                                                                                            ,0.593,0.642,-7.284,0.0299,0.313,0.000582,0.0804,0.736,76.403,239440,12
When You Believe - from The Prince of Egypt                                                                                                                                      ,0.436,0.391,-9.62,0.0326,0.554,0.0,0.12,0.126,125.354,272893,23
Heal the World                                                                                                                                                                   ,0.545,0.485,-8.045,0.0485,0.537,1.8e-06,0.104,0.101,80.948,384307,23
"Beauty and the Beast - from the Soundtrack ""Beauty and the Beast""                                                                                                            ",0.463,0.4,-9.999,0.0308,0.643,2.46e-05,0.131,0.121,77.314,249240,23
You Get What You Give                                                                                                                                                            ,0.621,0.901,-5.396,0.0302,0.17,0.0,0.0875,0.744,113.967,300773,5
Two Princes                                                                                                                                                                      ,0.543,0.912,-10.71,0.0601,0.00162,2.1e-06,0.0565,0.836,103.731,256733,5
Mr. Jones                                                                                                                                                                        ,0.578,0.817,-6.542,0.0363,0.183,3.06e-06,0.285,0.726,141.621,272293,6
I'm Every Woman                                                                                                                                                                  ,0.665,0.847,-8.314,0.0535,0.0178,0.00288,0.126,0.4,119.555,285107,18
Mambo No. 5 (A Little Bit of...)                                                                                                                                                 ,0.607,0.802,-6.849,0.403,0.107,0.0,0.305,0.901,174.201,219600,6
All That She Wants                                                                                                                                                               ,0.798,0.625,-9.689,0.0548,0.00547,7.98e-05,0.103,0.858,93.764,211213,19
Ride On Time                                                                                                                                                                     ,0.653,0.805,-7.539,0.0325,0.00574,0.551,0.0691,0.847,118.763,272147,20
Nothing Compares 2 U                                                                                                                                                             ,0.511,0.574,-7.016,0.0273,0.0425,2.33e-05,0.105,0.161,119.917,280040,26
Again                                                                                                                                                                            ,0.359,0.287,-9.51,0.0303,0.882,0.00607,0.186,0.189,130.135,227133,3
Stay Another Day                                                                                                                                                                 ,0.524,0.489,-7.828,0.0274,0.578,0.000624,0.186,0.443,127.768,267133,23
End Of The Road                                                                                                                                                                  ,0.64,0.427,-9.29,0.0241,0.0664,0.0,0.0579,0.529,149.703,351467,12
"Rhythm Is A Dancer - 7"" Edit                                                                                                                                                  ",0.794,0.745,-11.367,0.037,0.273,0.000414,0.143,0.706,124.249,225882,4
All My Life                                                                                                                                                                      ,0.629,0.511,-8.651,0.0326,0.114,3.91e-06,0.0588,0.181,128.038,331240,26
My Love Is Your Love                                                                                                                                                             ,0.77,0.475,-9.512,0.159,0.0561,4.72e-06,0.0607,0.473,82.511,261573,1
More Than Words                                                                                                                                                                  ,0.623,0.127,-14.935,0.0306,0.452,0.0,0.114,0.237,91.625,334040,3
You Oughta Know - 2015 Remaster                                                                                                                                                  ,0.665,0.834,-7.737,0.0576,0.21,0.0,0.452,0.411,105.292,249493,14
Endless Love                                                                                                                                                                     ,0.483,0.268,-11.809,0.0257,0.866,0.0163,0.145,0.182,93.47,266800,3
One                                                                                                                                                                              ,0.392,0.534,-8.793,0.0369,0.245,0.00104,0.155,0.325,181.305,276187,26
"Bills, Bills, Bills                                                                                                                                                            ",0.845,0.576,-5.15,0.153,0.139,0.0,0.0764,0.461,127.641,256027,1
Smooth                                                                                                                                                                           ,0.609,0.923,-3.908,0.0338,0.16,4.76e-06,0.295,0.961,115.994,294987,5
Back To Black                                                                                                                                                                    ,0.403,0.422,-13.964,0.0373,0.134,2.05e-05,0.0861,0.378,122.728,241293,26
She Will Be Loved                                                                                                                                                                ,0.524,0.711,-5.494,0.0405,0.0567,0.0,0.134,0.539,203.867,257133,25
Family Affair                                                                                                                                                                    ,0.911,0.551,-3.75,0.0449,0.132,4.12e-05,0.0863,0.969,92.887,265867,19
The Sweet Escape                                                                                                                                                                 ,0.756,0.77,-3.502,0.0343,0.191,0.0,0.178,0.73,119.961,246467,5
Hips Don't Lie (feat. Wyclef Jean)                                                                                                                                               ,0.778,0.824,-5.892,0.0707,0.284,0.0,0.405,0.758,100.024,218093,4
Yeah!                                                                                                                                                                            ,0.895,0.795,-4.693,0.0977,0.0219,0.0,0.0403,0.574,105.004,250067,1
Pon de Replay                                                                                                                                                                    ,0.779,0.64,-8.415,0.159,0.000155,0.00077,0.101,0.498,99.019,246960,1
You're Beautiful                                                                                                                                                                 ,0.675,0.479,-9.87,0.0278,0.633,1.76e-05,0.088,0.454,81.998,209493,23
