name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,clusters
Saudade De Bahia                                                                                                                                                                 ,0.7514910536779325,0.39880663116285825,0.5266488443707489,0.043891733723482096,0.21809045226130652,1.9086294416243656e-06,0.15472548703912414,0.6967494028455706,0.5105371002794163,0.25681183187070555,12
Mulher Eu Sei                                                                                                                                                                    ,0.7106251380605257,0.04931288607886655,0.34157896517884345,0.0896122896854426,0.8834170854271356,4.111675126903553e-05,0.6039285139269038,0.5212379270952332,0.39729897547345555,0.24770840630331514,14
Rosa Morena                                                                                                                                                                      ,0.6509829909432294,0.11824972570552546,0.28432201955940584,0.056327724945135355,0.9206030150753768,0.00034822335025380707,0.149895346965062,0.3945373351334511,0.48509158646383116,0.38886476732193037,14
Desafinado                                                                                                                                                                       ,0.44665341285619614,0.14530342730319684,0.3623904436398092,0.15471836137527434,0.935678391959799,0.1563451776649746,0.15472548703912414,0.41634645342195453,0.6213474076373797,0.349653859997708,14
Madalena                                                                                                                                                                         ,0.6774906118842501,0.2064247531349729,0.48692091638184837,0.11667885881492321,0.9678391959798994,0.42030456852791875,0.1627757204958944,0.6874026378647836,0.31489599503259863,0.18146645855762356,14
Brigas Nunca Mais                                                                                                                                                                ,0.6984758117958911,0.5460990065279581,0.5670535684071605,0.06364301389904903,0.39999999999999997,0.07715736040609136,0.2287876348414104,0.6427458718454669,0.7899099658491153,0.27643907564720677,15
Previsao                                                                                                                                                                         ,0.6763861276783742,0.8647314920116431,0.6848499204764644,0.05705925384052671,0.6442211055276381,0.36345177664974615,0.20624698116245374,0.5337002804029495,0.35503259857187214,0.23948626980681048,4
The Girl From Ipanema                                                                                                                                                            ,0.6399381488844709,0.13929149361482543,0.3864167033264526,0.05998536942209218,0.8713567839195979,0.0016852791878172587,0.15150539365641602,0.3799979229411154,0.5371064886681156,0.46037992275000933,14
Blue Bossa - Remastered                                                                                                                                                          ,0.46211619173845814,0.43287425539696295,0.6192683834726406,0.1119239209948793,0.6110552763819095,0.7045685279187817,0.15633553373047818,0.9086094090767475,0.24525302701024526,0.3847762962293418,19
Aqua De Coco                                                                                                                                                                     ,0.7658493483543185,0.7324689508674719,0.6297248824066868,0.15801024140453548,0.48944723618090447,0.0009238578680203045,0.7134116889389792,0.8244885242496625,0.2807264824588637,0.4112682330799762,18
Samba de Verão                                                                                                                                                                   ,0.7017892644135189,0.4048185648512297,0.46096578795979837,0.03328456474030725,0.8170854271356782,0.00015939086294416242,0.5105458058283691,0.8546058780766436,0.4471654765600745,0.1905472869693502,18
Mas Que Nada                                                                                                                                                                     ,0.6145350121493263,0.5390850838915248,0.5251937328686,0.03145574250182882,0.15678391959798993,0.0021725888324873096,0.2835292223474481,0.9283414684806316,0.28456380006209253,0.23584974182749657,12
Nova Bossa Nova                                                                                                                                                                  ,0.5924453280318092,0.7394828735039053,0.5958174004263815,0.08266276517922458,0.5256281407035176,0.7360406091370557,0.21751730800193203,0.8919929379997924,0.3241291524371313,0.3448325954285954,24
Não Sei                                                                                                                                                                          ,0.3538767395626243,0.08578528378831982,0.4785624851950865,0.06217995610826629,0.9829145728643215,0.002,0.3592014168410884,0.14009762176757712,0.42362620304253346,0.4038224702887755,7
A Força Que Nunca Seca (feat. Maria Bethânia)                                                                                                                                    ,0.5537883808261541,0.11123580306909214,0.5709789854827247,0.06912948061448429,0.8944723618090452,0.0,0.5185960392851393,0.301069685325579,0.40704750077615653,0.30049859009889485,14
Aquarela Do Brasil                                                                                                                                                               ,0.3991605920035343,0.25151425579775855,0.30269703224933164,0.08814923189465984,0.9678391959798994,0.914720812182741,0.15150539365641602,0.4319243950565999,0.2372430922073891,0.2814959962682412,19
Brigas Nunca Mais                                                                                                                                                                ,0.5162359178263751,0.2755619905512442,0.45176136171364767,0.08449158741770302,0.9768844221105526,0.898477157360406,0.19658670101432943,0.26783674317166895,0.33105867742936984,0.18406997370659528,19
Águas De Março                                                                                                                                                                   ,0.6377291804727192,0.5521109402163294,0.6403844201549864,0.38185808339429417,0.836180904522613,0.0,0.17887618740943487,0.4693114549797487,0.6235579012728967,0.2901474787223568,21
Aquarela Do Brasil                                                                                                                                                               ,0.4278771813563066,0.14430143835513493,0.28686000473757234,0.09436722750548648,0.9417085427135679,0.932994923857868,0.10626308162936723,0.2927614497871015,0.3012294318534617,0.31416502702781224,3
Chega De Saudade                                                                                                                                                                 ,0.4024740446211619,0.24450033316132522,0.41372542384352473,0.040599853694220936,0.7386934673366833,0.0,0.28674931573015616,0.689479696749403,0.826333436820863,0.14322722892694179,14
Rebel Rebel                                                                                                                                                                      ,0.7879390324718356,0.205422764186911,0.42468951981320424,0.11119239209948795,0.8834170854271356,0.00031776649746192894,0.20785702785380777,0.5513552809222142,0.4821049363551692,0.2164371710298008,14
Karoliina Kaunis                                                                                                                                                                 ,0.7636403799425668,0.21444066471946813,0.4242834421846977,0.9890270665691295,0.6211055276381909,0.004710659898477157,0.12928674931573017,0.37376674628725726,0.5434399254889786,0.35294658839442367,8
"Brigas, Nunca Mais                                                                                                                                                             ",0.4797879390324718,0.24149436631713952,0.46242089946194714,0.03877103145574251,0.7055276381909547,0.0,0.26098856866849135,0.7382905805379583,0.24745731139397703,0.1495931704939254,14
Kaipuusamba                                                                                                                                                                      ,0.5305942125027612,0.22345856525202526,0.4088863321038205,0.1349670811997074,0.7778894472361808,0.09005076142131979,0.1659958138786025,0.5295461626337108,0.2290158335920522,0.29615186579872066,14
